topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,works_count
T11375,Geotechnical Engineering and Soil Stabilization,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,86441
T11510,Reproductive System and Pregnancy,2403,Immunology,24,Immunology and Microbiology,1,Life Sciences,86356
T11995,"FinTech, Crowdfunding, Digital Finance",1404,Management Information Systems,14,"Business, Management and Accounting",2,Social Sciences,86310
T10416,Traumatic Brain Injury Research,2713,Epidemiology,27,Medicine,4,Health Sciences,86228
T13364,"Digitalization, Law, and Regulation",3308,Law,33,Social Sciences,2,Social Sciences,86191
T10176,Mesenchymal stem cell research,2716,Genetics,27,Medicine,4,Health Sciences,86148
T11379,Rheology and Fluid Dynamics Studies,1507,Fluid Flow and Transfer Processes,15,Chemical Engineering,3,Physical Sciences,86051
T10985,Sleep and Wakefulness Research,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,86045
T10375,Pharmacogenetics and Drug Metabolism,3004,Pharmacology,30,"Pharmacology, Toxicology and Pharmaceutics",1,Life Sciences,86032
T10125,Advanced Wireless Communication Techniques,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,86031
T11209,Cardiovascular and exercise physiology,2707,Complementary and alternative medicine,27,Medicine,4,Health Sciences,86029
T12667,Economic and Technological Developments in Russia,3303,Development,33,Social Sciences,2,Social Sciences,86005
T10558,Advancements in Semiconductor Devices and Circuit Design,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,85948
T11090,Dark Matter and Cosmic Phenomena,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences,85943
T11295,Counseling Practices and Supervision,3207,Social Psychology,32,Psychology,2,Social Sciences,85873
T10336,Cancer Cells and Metastasis,2730,Oncology,27,Medicine,4,Health Sciences,85775
T13174,American and British Literature Analysis,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,85747
T10447,Environmental Toxicology and Ecotoxicology,2307,"Health, Toxicology and Mutagenesis",23,Environmental Science,3,Physical Sciences,85736
T10834,Welding Techniques and Residual Stresses,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences,85723
T10600,Reproductive Health and Contraception,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,85688
T10935,Endometriosis Research and Treatment,2743,Reproductive Medicine,27,Medicine,4,Health Sciences,85656
T10304,Geometric and Algebraic Topology,2608,Geometry and Topology,26,Mathematics,3,Physical Sciences,85569
T11028,Social Work Education and Practice,3321,Public Administration,33,Social Sciences,2,Social Sciences,85554
T10562,Total Knee Arthroplasty Outcomes,2746,Surgery,27,Medicine,4,Health Sciences,85527
T10352,Physical Activity and Health,2737,Physiology,27,Medicine,4,Health Sciences,85519
T11460,Analytical Methods in Pharmaceuticals,1602,Analytical Chemistry,16,Chemistry,3,Physical Sciences,85501
T10321,Quantum Dots Synthesis And Properties,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences,85498
T11541,Neuroendocrine regulation and behavior,3207,Social Psychology,32,Psychology,2,Social Sciences,85383
T12842,"Youth, Drugs, and Violence",3317,Demography,33,Social Sciences,2,Social Sciences,85370
T10519,Advanced Proteomics Techniques and Applications,1607,Spectroscopy,16,Chemistry,3,Physical Sciences,85356
T10949,Genetic Neurodegenerative Diseases,2804,Cellular and Molecular Neuroscience,28,Neuroscience,1,Life Sciences,85322
T12652,International Maritime Law Issues,2308,"Management, Monitoring, Policy and Law",23,Environmental Science,3,Physical Sciences,85302
T11075,Insect Resistance and Genetics,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,85298
T10045,Organic Electronics and Photovoltaics,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,85191
T11223,Maritime Ports and Logistics,2209,Industrial and Manufacturing Engineering,22,Engineering,3,Physical Sciences,85164
T12171,Open Education and E-Learning,1706,Computer Science Applications,17,Computer Science,3,Physical Sciences,85083
T12728,Demographic Trends and Gender Preferences,3318,Gender Studies,33,Social Sciences,2,Social Sciences,85074
T10889,Soil erosion and sediment transport,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,85043
T10786,Maternal Mental Health During Pregnancy and Postpartum,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,85036
T11663,Viral Infectious Diseases and Gene Expression in Insects,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,85030
T13334,South Asian Cinema and Culture,1213,Visual Arts and Performing Arts,12,Arts and Humanities,2,Social Sciences,85008
T10052,Medical Image Segmentation Techniques,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences,84992
T12043,Insect behavior and control techniques,1109,Insect Science,11,Agricultural and Biological Sciences,1,Life Sciences,84956
T10628,China's Socioeconomic Reforms and Governance,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,84941
T11181,Advanced Data Storage Technologies,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences,84908
T12147,Urban and Rural Development Challenges,3322,Urban Studies,33,Social Sciences,2,Social Sciences,84862
T11712,Intergenerational Family Dynamics and Caregiving,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,84836
T13283,Mental Health Research Topics,3205,Experimental and Cognitive Psychology,32,Psychology,2,Social Sciences,84834
T11129,Photochemistry and Electron Transfer Studies,1606,Physical and Theoretical Chemistry,16,Chemistry,3,Physical Sciences,84831
T10797,Accounting and Organizational Management,1404,Management Information Systems,14,"Business, Management and Accounting",2,Social Sciences,84814
T13123,Advances in Oncology and Radiotherapy,2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences,84775
T10072,Science Education and Pedagogy,3304,Education,33,Social Sciences,2,Social Sciences,84768
T12408,Educational Innovations and Challenges,1710,Information Systems,17,Computer Science,3,Physical Sciences,84584
T10365,Gastrointestinal motility and disorders,2715,Gastroenterology,27,Medicine,4,Health Sciences,84507
T10575,Wireless Communication Networks Research,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences,84440
T10475,Psychological Well-being and Life Satisfaction,3207,Social Psychology,32,Psychology,2,Social Sciences,84382
T13169,Consumer Perception and Purchasing Behavior,1406,Marketing,14,"Business, Management and Accounting",2,Social Sciences,84360
T10505,Pluripotent Stem Cells Research,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,84344
T10619,Esophageal Cancer Research and Treatment,2746,Surgery,27,Medicine,4,Health Sciences,84256
T10665,Cystic Fibrosis Research Advances,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences,84248
T11291,Intraocular Surgery and Lenses,2731,Ophthalmology,27,Medicine,4,Health Sciences,84169
T13712,Kantian Philosophy and Modern Interpretations,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,84153
T11012,Gas Dynamics and Kinetic Theory,2604,Applied Mathematics,26,Mathematics,3,Physical Sciences,84148
T10323,Analog and Mixed-Signal Circuit Design,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences,84103
T11963,Impact of Light on Environment and Health,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,84070
T11141,Childhood Cancer Survivors' Quality of Life,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,84018
T10863,Voice and Speech Disorders,2737,Physiology,27,Medicine,4,Health Sciences,83941
T11839,Hormonal Regulation and Hypertension,2712,"Endocrinology, Diabetes and Metabolism",27,Medicine,4,Health Sciences,83893
T10729,Electrospun Nanofibers in Biomedical Applications,2502,Biomaterials,25,Materials Science,3,Physical Sciences,83878
T10999,Organ Transplantation Techniques and Outcomes,2746,Surgery,27,Medicine,4,Health Sciences,83874
T12571,Soybean genetics and cultivation,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,83783
T12437,"Balkans: History, Politics, Society",3316,Cultural Studies,33,Social Sciences,2,Social Sciences,83774
T12019,Calibration and Measurement Techniques,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,83733
T12697,Water Quality Monitoring Technologies,2312,Water Science and Technology,23,Environmental Science,3,Physical Sciences,83720
T10272,Mental Health Treatment and Access,3207,Social Psychology,32,Psychology,2,Social Sciences,83649
T11261,Quantum chaos and dynamical systems,3109,Statistical and Nonlinear Physics,31,Physics and Astronomy,3,Physical Sciences,83557
T13417,Biomedical Ethics and Regulation,2737,Physiology,27,Medicine,4,Health Sciences,83498
T10353,Zeolite Catalysis and Synthesis,1604,Inorganic Chemistry,16,Chemistry,3,Physical Sciences,83453
T10446,"Income, Poverty, and Inequality",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,83445
T12041,Public Health Policies and Education,3600,General Health Professions,36,Health Professions,4,Health Sciences,83433
T10776,Spinal Fractures and Fixation Techniques,2746,Surgery,27,Medicine,4,Health Sciences,83404
T11560,Animal Disease Management and Epidemiology,1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,1,Life Sciences,83367
T11635,Poisoning and overdose treatments,2711,Emergency Medicine,27,Medicine,4,Health Sciences,83346
T11309,Music and Audio Processing,1711,Signal Processing,17,Computer Science,3,Physical Sciences,83238
T11185,Integrated Energy Systems Optimization,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,83218
T10040,Adaptive Control of Nonlinear Systems,2207,Control and Systems Engineering,22,Engineering,3,Physical Sciences,83198
T10673,Gestational Diabetes Research and Management,2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences,83190
T10174,Animal Behavior and Reproduction,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences,83181
T13144,Theology and Philosophy of Evil,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,83153
T10292,Acute Myocardial Infarction Research,2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences,83140
T12190,Innovations in Concrete and Construction Materials,2215,Building and Construction,22,Engineering,3,Physical Sciences,83114
T10675,Mechanical Circulatory Support Devices,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences,83088
T12120,Air Quality Monitoring and Forecasting,2305,Environmental Engineering,23,Environmental Science,3,Physical Sciences,83041
T10672,Design Education and Practice,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences,83037
T11187,Nonlinear Dynamics and Pattern Formation,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences,82994
T10538,Data Mining Algorithms and Applications,1710,Information Systems,17,Computer Science,3,Physical Sciences,82875
T13200,Spacecraft and Cryogenic Technologies,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,82848
T11190,3D Printing in Biomedical Research,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences,82832
T13035,Human Rights and Development,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,82795
T11491,CAR-T cell therapy research,2730,Oncology,27,Medicine,4,Health Sciences,82759
T13887,Augustinian Studies and Theology,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,82752
T11266,Neuroinflammation and Neurodegeneration Mechanisms,2808,Neurology,28,Neuroscience,1,Life Sciences,82701
T10563,Corneal surgery and disorders,2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences,82635
T10115,Corporate Social Responsibility Reporting,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences,82607
T10896,Homotopy and Cohomology in Algebraic Topology,2610,Mathematical Physics,26,Mathematics,3,Physical Sciences,82565
T10870,Interstitial Lung Diseases and Idiopathic Pulmonary Fibrosis,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences,82552
T11097,Cerebral Palsy and Movement Disorders,2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences,82490
T13558,"Philosophy, Science, and History",1207,History and Philosophy of Science,12,Arts and Humanities,2,Social Sciences,82459
T10465,Neurobiology of Language and Bilingualism,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,82457
T10574,Crime Patterns and Interventions,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,82449
T11399,Muscle metabolism and nutrition,1307,Cell Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,82436
T10556,Global Cancer Incidence and Screening,2730,Oncology,27,Medicine,4,Health Sciences,82435
T12379,Cancer Diagnosis and Treatment,2730,Oncology,27,Medicine,4,Health Sciences,82421
T10943,Escherichia coli research studies,1310,Endocrinology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,82383
T11227,Diabetic Foot Ulcer Assessment and Management,2712,"Endocrinology, Diabetes and Metabolism",27,Medicine,4,Health Sciences,82376
T10668,Endometrial and Cervical Cancer Treatments,2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences,82284
T11456,Neuroscience of respiration and sleep,2807,Endocrine and Autonomic Systems,28,Neuroscience,1,Life Sciences,82220
T13006,Spanish History and Politics,1202,History,12,Arts and Humanities,2,Social Sciences,82217
T14342,"Military, Security, and Education Studies",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,82176
T12060,Child Development and Digital Technology,3304,Education,33,Social Sciences,2,Social Sciences,82152
T10331,Video Surveillance and Tracking Methods,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences,82145
T10841,Economic and Environmental Valuation,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,82128
T11088,Marine Bivalve and Aquaculture Studies,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,82124
T10607,Magnetic and transport properties of perovskites and related materials,2504,"Electronic, Optical and Magnetic Materials",25,Materials Science,3,Physical Sciences,82066
T11121,Public Relations and Crisis Communication,3315,Communication,33,Social Sciences,2,Social Sciences,82063
T12180,Polar Research and Ecology,2303,Ecology,23,Environmental Science,3,Physical Sciences,82044
T12496,Color perception and design,3207,Social Psychology,32,Psychology,2,Social Sciences,82009
T14272,Agricultural and Food Production Studies,1106,Food Science,11,Agricultural and Biological Sciences,1,Life Sciences,82001
T14028,Healthcare and Venom Research,2736,Pharmacology,27,Medicine,4,Health Sciences,81961
T11274,Botulinum Toxin and Related Neurological Disorders,2728,Neurology,27,Medicine,4,Health Sciences,81925
T10042,Neural and Behavioral Psychology Studies,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,81849
T10617,Cellular transport and secretion,1307,Cell Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,81810
T11762,"Law, Economics, and Judicial Systems",2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,81712
T13559,Edcuational Technology Systems,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,81676
T10405,Advanced Polymer Synthesis and Characterization,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences,81649
T13245,Samuel Beckett and Modernism,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,81558
T12899,Engineering and Technology Innovations,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,81515
T10213,Public Policy and Administration Research,3321,Public Administration,33,Social Sciences,2,Social Sciences,81481
T11029,Renal Diseases and Glomerulopathies,2727,Nephrology,27,Medicine,4,Health Sciences,81472
T11189,Transplantation: Methods and Outcomes,2746,Surgery,27,Medicine,4,Health Sciences,81439
T12511,Medieval and Classical Philosophy,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,81394
T10237,Cryptography and Data Security,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,81312
T11606,Infrastructure Maintenance and Monitoring,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,81236
T11809,Advanced NMR Techniques and Applications,1607,Spectroscopy,16,Chemistry,3,Physical Sciences,81201
T11495,Animal Virus Infections Studies,1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,1,Life Sciences,81109
T14178,Environmental Science and Water Management,2312,Water Science and Technology,23,Environmental Science,3,Physical Sciences,81103
T10998,Heat Transfer and Optimization,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences,81096
T14493,Criminal Law and Evidence,3308,Law,33,Social Sciences,2,Social Sciences,81096
T13634,Middle East and Rwanda Conflicts,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,81090
T10750,Fermentation and Sensory Analysis,1106,Food Science,11,Agricultural and Biological Sciences,1,Life Sciences,81001
T10459,Sexual function and dysfunction studies,2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences,80984
T10383,"Language, Discourse, Communication Strategies",1203,Language and Linguistics,12,Arts and Humanities,2,Social Sciences,80944
T10764,Privacy-Preserving Technologies in Data,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,80849
T10862,AI in cancer detection,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences,80839
T12098,Rural development and sustainability,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences,80815
T11301,Advanced Surface Polishing Techniques,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences,80744
T12449,Spacecraft Design and Technology,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences,80714
T12545,Global Education and Multiculturalism,3304,Education,33,Social Sciences,2,Social Sciences,80676
T10387,Fatty Acid Research and Health,2916,Nutrition and Dietetics,29,Nursing,4,Health Sciences,80661
T10281,Advanced Battery Materials and Technologies,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,80602
T11361,Digital Radiography and Breast Imaging,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences,80534
T11326,Stock Market Forecasting Methods,1803,Management Science and Operations Research,18,Decision Sciences,2,Social Sciences,80494
T11369,Genetic factors in colorectal cancer,2734,Pathology and Forensic Medicine,27,Medicine,4,Health Sciences,80403
T11586,Congenital Diaphragmatic Hernia Studies,2746,Surgery,27,Medicine,4,Health Sciences,80380
T10539,Sustainable Supply Chain Management,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences,80330
T13136,Community-based Tourism Development and Sustainability,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,80213
T11259,Agriculture Sustainability and Environmental Impact,2303,Ecology,23,Environmental Science,3,Physical Sciences,80164
T11343,Power Transformer Diagnostics and Insulation,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,80104
T10716,Soil and Unsaturated Flow,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences,80057
T10838,Animal Behavior and Welfare Studies,3404,Small Animals,34,Veterinary,4,Health Sciences,79995
T11792,Pharmaceutical Economics and Policy,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,79982
T11432,Gender Politics and Representation,3318,Gender Studies,33,Social Sciences,2,Social Sciences,79924
T12388,Identification and Quantification in Food,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,79870
T11684,Vibrio bacteria research studies,1310,Endocrinology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,79864
T13882,Research studies in Vietnam,2303,Ecology,23,Environmental Science,3,Physical Sciences,79848
T11446,Mobile Health and mHealth Applications,3600,General Health Professions,36,Health Professions,4,Health Sciences,79746
T10374,Advanced Graph Theory Research,1703,Computational Theory and Mathematics,17,Computer Science,3,Physical Sciences,79735
T10373,Renal Transplantation Outcomes and Treatments,2747,Transplantation,27,Medicine,4,Health Sciences,79716
T11095,Emergency and Acute Care Studies,2711,Emergency Medicine,27,Medicine,4,Health Sciences,79683
T10606,Kidney Stones and Urolithiasis Treatments,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences,79650
T11547,Sesquiterpenes and Asteraceae Studies,1306,Cancer Research,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,79647
T10014,Plant Stress Responses and Tolerance,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,79646
T10334,"Hearing, Cochlea, Tinnitus, Genetics",2809,Sensory Systems,28,Neuroscience,1,Life Sciences,79640
T10326,Indoor and Outdoor Localization Technologies,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,79630
T10366,Discourse Analysis in Language Studies,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,79590
T10481,Computer Graphics and Visualization Techniques,1704,Computer Graphics and Computer-Aided Design,17,Computer Science,3,Physical Sciences,79507
T10350,Electronic Health Records Systems,3605,Health Information Management,36,Health Professions,4,Health Sciences,79498
T10288,Fractional Differential Equations Solutions,2611,Modeling and Simulation,26,Mathematics,3,Physical Sciences,79479
T10339,Advanced Numerical Methods in Computational Mathematics,2206,Computational Mechanics,22,Engineering,3,Physical Sciences,79437
T10846,Photonic Crystal and Fiber Optics,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,79364
T10319,"Conservation, Biodiversity, and Resource Management",2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences,79291
T10412,Microfluidic and Capillary Electrophoresis Applications,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences,79269
T10424,Electric Power System Optimization,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,79144
T12073,Isotope Analysis in Ecology,2303,Ecology,23,Environmental Science,3,Physical Sciences,79113
T14197,Historical Studies of Medieval Iberia,1204,Archeology,12,Arts and Humanities,2,Social Sciences,79103
T13392,History of Education in Spain,1202,History,12,Arts and Humanities,2,Social Sciences,79097
T11232,Urinary Tract Infections Management,2713,Epidemiology,27,Medicine,4,Health Sciences,78931
T11176,Radiation Therapy and Dosimetry,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences,78872
T13051,Qualitative Comparative Analysis Research,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,78867
T11385,Natural product bioactivities and synthesis,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,78846
T10773,Extracellular vesicles in disease,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,78800
T12590,STEM Education,3304,Education,33,Social Sciences,2,Social Sciences,78788
T10013,Asymmetric Synthesis and Catalysis,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences,78787
T12817,Pharmacological Effects of Natural Compounds,3004,Pharmacology,30,"Pharmacology, Toxicology and Pharmaceutics",1,Life Sciences,78641
T10533,Teaching and Learning Programming,1706,Computer Science Applications,17,Computer Science,3,Physical Sciences,78639
T10525,Human-Automation Interaction and Safety,3207,Social Psychology,32,Psychology,2,Social Sciences,78562
T10011,"Literature: history, themes, analysis",1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences,78559
T11734,Decision Support System Applications,1404,Management Information Systems,14,"Business, Management and Accounting",2,Social Sciences,78403
T10187,Radio Frequency Integrated Circuit Design,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,78361
T10356,Orthodontics and Dentofacial Orthopedics,3505,Orthodontics,35,Dentistry,4,Health Sciences,78307
T10131,Gold and Silver Nanoparticles Synthesis and Applications,2504,"Electronic, Optical and Magnetic Materials",25,Materials Science,3,Physical Sciences,78241
T11041,Ubiquitin and proteasome pathways,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,78199
T12257,Bioactive natural compounds,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,78195
T13256,Archaeology and Rock Art Studies,3302,Archeology,33,Social Sciences,2,Social Sciences,78064
T10178,Cancer survivorship and care,2730,Oncology,27,Medicine,4,Health Sciences,78058
T13614,Social and Economic Solidarity,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,78042
T13002,Southeast Asian Sociopolitical Studies,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,77898
T12803,Cinema History and Criticism,1213,Visual Arts and Performing Arts,12,Arts and Humanities,2,Social Sciences,77866
T13844,Higher Education Learning Practices,3304,Education,33,Social Sciences,2,Social Sciences,77866
T12786,Innovation and Socioeconomic Development,1403,Business and International Management,14,"Business, Management and Accounting",2,Social Sciences,77850
T12003,Bioenergy crop production and management,1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,1,Life Sciences,77813
T11037,Fungal Infections and Studies,2713,Epidemiology,27,Medicine,4,Health Sciences,77803
T10674,School Choice and Performance,3304,Education,33,Social Sciences,2,Social Sciences,77725
T12834,Flowering Plant Growth and Cultivation,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,77712
T10905,Solar Thermal and Photovoltaic Systems,2105,"Renewable Energy, Sustainability and the Environment",21,Energy,3,Physical Sciences,77648
T13747,Sociopolitical Dynamics in Russia,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,77642
T11838,"Crime, Illicit Activities, and Governance",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,77612
T11334,Psychosomatic Disorders and Their Treatments,2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences,77609
T10053,International Relations and Foreign Policy,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,77605
T11083,Cardiac Health and Mental Health,2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences,77583
T10455,Foot and Ankle Surgery,2732,Orthopedics and Sports Medicine,27,Medicine,4,Health Sciences,77567
T12956,Asian Geopolitics and Ethnography,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,77523
T11222,Magnetic Properties and Applications,2504,"Electronic, Optical and Magnetic Materials",25,Materials Science,3,Physical Sciences,77507
T10746,Platelet Disorders and Treatments,2720,Hematology,27,Medicine,4,Health Sciences,77460
T13374,Hematological disorders and diagnostics,2711,Emergency Medicine,27,Medicine,4,Health Sciences,77457
T12005,Spaceflight effects on biology,2737,Physiology,27,Medicine,4,Health Sciences,77421
T11381,Infectious Diseases and Tuberculosis,2746,Surgery,27,Medicine,4,Health Sciences,77381
T10422,Angiogenesis and VEGF in Cancer,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,77377
T10114,"Balance, Gait, and Falls Prevention",3612,"Physical Therapy, Sports Therapy and Rehabilitation",36,Health Professions,4,Health Sciences,77212
T10824,Image Retrieval and Classification Techniques,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences,77150
T12501,Digital Economy and Work Transformation,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,77147
T11163,Organ Donation and Transplantation,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,77122
T10623,Thin-Film Transistor Technologies,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences,77076
T10975,Bone Tumor Diagnosis and Treatments,2745,Rheumatology,27,Medicine,4,Health Sciences,77043
T13106,"Neuroscience, Education and Cognitive Function",2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,77022
T14437,Ethics and Legal Issues in Pediatric Healthcare,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences,76963
T14357,"Architecture, Design, and Social History",1206,Conservation,12,Arts and Humanities,2,Social Sciences,76961
T12847,Healthcare Systems and Challenges,3600,General Health Professions,36,Health Professions,4,Health Sciences,76954
T10648,Virtual Reality Applications and Impacts,1709,Human-Computer Interaction,17,Computer Science,3,Physical Sciences,76917
T10046,Stability and Control of Uncertain Systems,2207,Control and Systems Engineering,22,Engineering,3,Physical Sciences,76902
T11396,Artificial Intelligence in Healthcare,3605,Health Information Management,36,Health Professions,4,Health Sciences,76720
T11854,Laser-induced spectroscopy and plasma,2211,Mechanics of Materials,22,Engineering,3,Physical Sciences,76718
T14334,HIV/AIDS Impact and Responses,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences,76703
T11764,Evolution and Genetic Dynamics,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,76652
T13946,Musculoskeletal Disorders and Rehabilitation,2742,Rehabilitation,27,Medicine,4,Health Sciences,76528
T14052,Galician and Iberian cultural studies,3305,"Geography, Planning and Development",33,Social Sciences,2,Social Sciences,76527
T13564,Education and Public Policy,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,76503
